City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
207,Batavia,US,64.18,light rain,41.85,-88.31,Comfort Inn & Suites Geneva- West Chicago
208,Bredasdorp,ZA,53.78,clear sky,-34.53,20.04,Bredasdorp Country Manor
210,Itoman,JP,64.78,mist,26.12,127.67,Southern Beach Hotel & Resort Okinawa
216,Saurimo,AO,61.02,clear sky,-9.66,20.39,Hotel Kawissa Saurimo
218,Talara,PE,66.22,overcast clouds,-4.58,-81.27,Hostal Oro Negro
222,Sechura,PE,67.55,broken clouds,-5.56,-80.82,Hospedaje Costa Bella
223,Adjumani,UG,65.46,overcast clouds,3.38,31.79,Hotel Zawadi
224,Heihe,CN,50.58,few clouds,50.24,127.49,Hotel Druzhba
234,Ilo,PE,64.24,scattered clouds,-17.64,-71.34,Torreblanca Hotel
240,Hualmay,PE,63.54,clear sky,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
245,Alanya,TR,59.13,clear sky,36.54,32.0,Panorama Hotel
247,Yulara,AU,68.95,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
249,Beyneu,KZ,63.9,clear sky,45.32,55.2,NUR
251,College,US,51.48,overcast clouds,64.86,-147.8,Pike's Waterfront Lodge
252,Plettenberg Bay,ZA,61.21,clear sky,-34.05,23.37,Thanda Vista B&B
255,Moose Factory,CA,58.98,overcast clouds,51.26,-80.61,Moosonee Lilypad
257,Tailai,CN,62.98,scattered clouds,46.38,123.4,Pearl Garden Hotel
262,Cardoso,BR,66.69,overcast clouds,-20.08,-49.91,EmilioTur Pescaria
264,Hasaki,JP,57.6,light rain,35.73,140.83,Inubosaki Kanko Hotel
266,Faya,SA,59.52,clear sky,18.39,42.45,أبو تركي للوحدات السكنيه
267,Panzhihua,CN,63.36,overcast clouds,26.59,101.71,Electric Power Hotel
277,Norman Wells,CA,55.83,broken clouds,65.28,-126.83,Heritage Hotel
282,Kishtwar,IN,63.68,scattered clouds,33.32,75.77,Vijay Studio
284,Lakes Entrance,AU,67.15,broken clouds,-37.88,147.98,The Esplanade Resort & Spa
288,Shenjiamen,CN,62.56,overcast clouds,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
290,Changde,CN,62.47,clear sky,29.05,111.68,Kangshida Hotel
291,Shu,KZ,58.35,clear sky,43.6,73.76,Shyngyzkhan
295,Svetlaya,RU,53.85,few clouds,46.54,138.33,
296,Maple Creek,CA,65.39,overcast clouds,49.92,-109.48,Willowbend Campground & Cabins
300,Saint Anthony,US,69.85,clear sky,45.02,-93.22,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
301,Lagoa,PT,58.1,clear sky,39.05,-27.98,Casa Das Faias
305,Lebu,CL,53.4,overcast clouds,-37.62,-73.65,Hostal Las Lilas
307,Villa Literno,IT,65.88,overcast clouds,41.01,14.08,La Meta Motel
310,Yambio,SS,67.15,light rain,4.57,28.4,Kabash Inn
311,Te Anau,NZ,57.76,few clouds,-45.42,167.72,Kingsgate Hotel Te Anau
313,Presidencia Roque Saenz Pena,AR,53.33,clear sky,-26.79,-60.44,Hotel Aconcagua
314,Barcelos,PT,62.92,overcast clouds,41.54,-8.62,Hotel Restaurante Bagoeira
315,Kharabali,RU,58.6,overcast clouds,47.42,47.26,Baza Otdiha Fishing Life
318,Santa Cruz,BO,69.12,overcast clouds,-17.8,-63.17,Hotel California
319,Portland,US,69.78,scattered clouds,45.52,-122.68,The Bidwell Marriott Portland
322,Kelvington,CA,50.11,broken clouds,52.17,-103.53,Sportsman Motel
324,Puerto Del Rosario,ES,67.75,broken clouds,28.5,-13.86,Hotel JM Puerto del Rosario
328,La Grande,US,62.98,overcast clouds,45.32,-118.09,Travelodge by Wyndham La Grande
329,Hereford,GB,60.06,overcast clouds,52.06,-2.71,The Green Dragon Hotel
331,Barguzin,RU,59.79,broken clouds,53.62,109.62,"Gostevoy Dom S.barguzin ""Vizit"""
333,Tetouan,MA,59.59,clear sky,35.57,-5.37,Athens Hôtel
335,Lillooet,CA,55.74,overcast clouds,50.69,-121.94,Hotel Victoria
336,Ryotsu,JP,61.2,overcast clouds,38.08,138.43,Sadokamoko Onsen Kohanno Yado Yoshidaya
341,Surt,LY,69.94,clear sky,31.21,16.59,مقر سكني في سرت
343,Hailar,CN,58.23,clear sky,49.2,119.7,Holiday Inn & Suites Hulunbuir
345,Barranca,PE,63.23,few clouds,-10.75,-77.77,El Olivar Hospedaje
349,Richards Bay,ZA,64.58,scattered clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
350,Mosetse,BW,60.28,clear sky,-20.75,26.65,
354,Ponta Delgada,PT,65.5,broken clouds,37.73,-25.67,Vila Nova Hotel
360,Santa Fe,AR,52.99,light rain,-31.63,-60.7,Conquistador Hotel
362,Abu Samrah,SY,59.97,clear sky,35.3,37.18,
364,Coquimbo,CL,56.3,few clouds,-29.95,-71.34,Hotel San Juan
365,Springbok,ZA,57.96,clear sky,-29.66,17.89,Undulata Country Lodge
367,Constitucion,CL,56.01,overcast clouds,-35.33,-72.42,Hotel Boutique Las Azucenas
370,Moyale,KE,62.76,overcast clouds,3.52,39.06,Latahzan guest house
376,Verkh-Usugli,RU,57.24,overcast clouds,52.7,115.17,"Gostinitsa ""Sever"""
380,Rio Grande,BR,50.95,clear sky,-32.03,-52.1,Hotel Atlântico Rio Grande
381,San Juan,AR,50.59,few clouds,-31.54,-68.54,Hotel Provincial
383,Hay River,CA,52.12,broken clouds,60.82,-115.8,Ptarmigan Inn
386,Antofagasta,CL,58.28,overcast clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
391,Kaka,TM,69.12,clear sky,37.35,59.61,
392,Yurginskoye,RU,52.03,overcast clouds,56.82,67.39,
